0002-ORFBO,FEMALE,0,yes,Yes,120,One year,Mailed check,DSL,65.60,593,No,Low/Medium,25+ months
0017-IUDMW,FEMALE,0,yes,Yes,72,Two year,Credit card (automatic),Fiber optic,116.80,8456,No,Low/Medium,25+ months
0019-EFAEP,FEMALE,0,No,No,72,Two year,Bank transfer (automatic),Fiber optic,101.30,7261,No,Low/Medium,25+ months
0078-XZMHT,MALE,0,yes,No,72,Two year,Bank transfer (automatic),DSL,85.15,6316,No,Low/Medium,25+ months
0129-KPTWJ,MALE,0,yes,No,72,Month-to-month,Electronic check,Fiber optic,94.65,6747,No,Low/Medium,25+ months
0164-APGRB,FEMALE,0,No,No,72,Two year,Electronic check,Fiber optic,114.90,8496,No,Low/Medium,25+ months
0229-LFJAF,MALE,0,No,No,72,Two year,Bank transfer (automatic),DSL,69.65,4908,No,Low/Medium,25+ months
0238-WHBIQ,MALE,0,yes,Yes,72,Two year,Credit card (automatic),DSL,89.70,6339,No,Low/Medium,25+ months
0244-LGNFY,FEMALE,0,yes,Yes,72,Two year,Bank transfer (automatic),DSL,92.65,6733,No,Low/Medium,25+ months
0254-FNMCI,FEMALE,0,No,No,72,Two year,Electronic check,Fiber optic,109.90,7624,No,Low/Medium,25+ months
0266-GMEAO,MALE,0,yes,Yes,72,Two year,Credit card (automatic),Fiber optic,114.30,8058,No,Low/Medium,25+ months
0270-THENM,MALE,0,yes,Yes,72,Two year,Bank transfer (automatic),DSL,69.85,5102,No,Low/Medium,25+ months
0301-FIDRB,FEMALE,0,yes,Yes,72,Two year,Bank transfer (automatic),DSL,63.80,4684,No,Low/Medium,25+ months
0336-KXKFK,MALE,0,No,No,72,Two year,Credit card (automatic),DSL,61.20,4390,No,Low/Medium,25+ months
0336-PIKEI,MALE,1,yes,No,72,Two year,Bank transfer (automatic),DSL,74.40,5360,No,Low/Medium,25+ months
0378-CJKPV,FEMALE,0,yes,No,72,Two year,Credit card (automatic),Fiber optic,112.10,7965,No,Low/Medium,25+ months
0392-BZIUW,FEMALE,0,yes,No,72,Two year,Credit card (automatic),Fiber optic,105.00,7589,No,Low/Medium,25+ months
0401-WDBXM,MALE,0,yes,Yes,72,Two year,Bank transfer (automatic),Fiber optic,105.55,7542,No,Low/Medium,25+ months
0402-OAMEN,FEMALE,0,yes,Yes,72,Two year,Bank transfer (automatic),No,24.45,1709,No,Low/Medium,25+ months
0404-AHASP,MALE,0,yes,No,72,Two year,Credit card (automatic),No,19.70,1421,No,Low/Medium,25+ months
0464-WJTKO,FEMALE,0,yes,Yes,72,Two year,Bank transfer (automatic),No,20.10,1460,No,Low/Medium,25+ months
0480-KYJVA,FEMALE,0,yes,Yes,72,Two year,Credit card (automatic),No,24.25,1784,No,Low/Medium,25+ months
0526-SXDJP,MALE,0,yes,No,72,Two year,Bank transfer (automatic),DSL,42.10,2962,No,Low/Medium,25+ months
0536-ACXIP,FEMALE,0,yes,No,72,Two year,Electronic check,Fiber optic,109.55,8165,No,Low/Medium,25+ months
0562-FGDCR,FEMALE,0,yes,Yes,72,Two year,Mailed check,DSL,74.55,5430,No,Low/Medium,25+ months
0619-OLYUR,MALE,0,yes,No,72,Two year,Credit card (automatic),Fiber optic,111.90,8071,No,Low/Medium,25+ months
